age,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
67,1253368211862667267,https://twitter.com/GeorgeStrait/status/1253368211862667267,GeorgeStrait,,"Guess that album! Released on this date in 1996, this album brought George three Number One Singles, including one that stayed on the charts for three straight weeks. ",2020-04-23 17:00:42+00:00,111,1279,,,1253368211862667267
67,1253005846579220485,https://twitter.com/GeorgeStrait/status/1253005846579220485,GeorgeStrait,,Happy Anniversary to Carrying Your Love With Me! Whose love have you been carrying with you through life? Tag them below!,2020-04-22 17:00:48+00:00,556,4334,,,1253005846579220485
67,1250468970374795264,https://twitter.com/GeorgeStrait/status/1250468970374795264,GeorgeStrait,,Do you remember where you were when you first heard a George Strait song?,2020-04-15 17:00:09+00:00,431,6541,,,1250468970374795264
67,1249814149040943104,https://twitter.com/GeorgeStrait/status/1249814149040943104,GeorgeStrait,WranglerNetwork,Hope you had a nice Easter!,2020-04-13 21:38:08+00:00,264,3321,,,1249814149040943104
67,1249021354390818816,https://twitter.com/GeorgeStrait/status/1249021354390818816,GeorgeStrait,,Happy Easter! You've found the hidden egg! Come join the Honky Tonk Hangout Facebook Group to learn more on how to win the Easter Egg Hunt!,2020-04-11 17:07:51+00:00,43,509,,,1249021354390818816
67,1246120344504713221,https://twitter.com/GeorgeStrait/status/1246120344504713221,GeorgeStrait,,"While you're working from home, share with us your favorite George song on your #WFH playlist!",2020-04-03 17:00:16+00:00,194,3017,,#WFH,1246120344504713221
67,1245758008015171584,https://twitter.com/GeorgeStrait/status/1245758008015171584,GeorgeStrait,,George's lead guitarist Rick McRae has a new tune to get you through the next few weeks. Check it out!,2020-04-02 17:00:28+00:00,57,351,,,1245758008015171584
67,1244656375764049922,https://twitter.com/GeorgeStrait/status/1244656375764049922,GeorgeStrait,,"Please stay home, healthy and well. Pray for your family, friends, first responders, health care providers, our President and the world. - g",2020-03-30 16:02:59+00:00,620,4275,,,1244656375764049922
67,1244656371850711043,https://twitter.com/GeorgeStrait/status/1244656371850711043,GeorgeStrait,,We’ve lost one of our own now to this silent enemy. That really hit home to me. I worked with Joe in the past. Great guy and hugely talented singer and entertainer. Let’s pray for his family and for all those who are affected by this terrible virus. We are going to win.,2020-03-30 16:02:58+00:00,1320,17596,,,1244656371850711043
67,1243221385574481928,https://twitter.com/GeorgeStrait/status/1243221385574481928,GeorgeStrait,,We could all use a playlist to lift our spirits right now. Enjoy some of George's live performances from over the years all in one place! Streaming now over at: https://bit.ly/GSLiveYouTube,2020-03-26 17:00:50+00:00,138,809,,,1243221385574481928
